career_0,career_1,career_2,career_3,career_4,career_5
0.6355000000000001,0.6369999999999999,0.5855,0.4735,0.4235,0.5735
0.646,0.6735,0.9,0.468,0.418,0.5680000000000001
0.7070000000000001,0.719,0.9,0.458,0.408,0.558
0.7115,0.7494999999999999,0.6615,0.4705,0.4205,0.5705
0.6450000000000001,0.6769999999999999,0.6829999999999999,0.461,0.411,0.561
0.7575000000000001,0.7599999999999999,0.7075,0.4855,0.4355,0.5855
0.6615,0.7569999999999999,0.6114999999999999,0.4585,0.4085,0.5585
0.7345,0.774,0.6845,0.4905,0.4405,0.5905
0.7000000000000001,0.92,0.65,0.471,0.421,0.5710000000000001
0.6845,0.92,0.6345,0.4615,0.4115,0.5615
0.6345000000000001,0.6639999999999999,0.5845,0.4885,0.4385,0.5885
0.63,0.7055,0.58,0.461,0.411,0.561
0.5990000000000001,0.6485,0.8810000000000001,0.494,0.5925000000000001,0.7920000000000001
0.7875,0.7865,0.7374999999999999,0.4955,0.4455,0.5955
0.6785,0.6359999999999999,0.6285,0.4695,0.4195,0.5695
0.95,0.6184999999999999,0.543,0.458,0.408,0.558
0.7170000000000001,0.697,0.667,0.6250000000000001,0.431,0.5810000000000001
0.7580000000000001,0.7635,0.7080000000000001,0.725,0.421,0.5710000000000001
0.6550000000000001,0.671,0.6050000000000001,0.497,0.447,0.5970000000000001
0.6335000000000001,0.6605,0.5835,0.4655,0.4155,0.5655
0.656,0.7354999999999999,0.63,0.467,0.417,0.5670000000000001
0.9290000000000002,0.7815000000000001,0.6880000000000001,0.498,0.643,0.88
0.681,0.6595,0.631,0.478,0.428,0.5780000000000001
0.6435,0.6435,0.5934999999999999,0.4785,0.4285,0.5785
0.5910000000000001,0.628,0.541,0.469,0.419,0.5690000000000001
0.6635,0.7505,0.6134999999999999,0.4655,0.4155,0.5655
0.95,0.689,0.6134999999999999,0.4655,0.4155,0.5655
0.7895000000000001,0.7915,0.7395,0.4945,0.4445,0.5945
0.926,0.6385,0.608,0.463,0.5690000000000001,0.88
0.9065,0.7474999999999999,0.6375,0.4535,0.4035,0.5535
0.6190000000000001,0.644,0.5690000000000001,0.483,0.417,0.5670000000000001
0.7070000000000001,0.7545000000000001,0.657,0.477,0.427,0.5770000000000001
0.6485,0.92,0.5984999999999999,0.4545,0.4045,0.5545
0.7110000000000001,0.6915,0.661,0.453,0.403,0.553
0.6525,0.6569999999999999,0.6024999999999999,0.5925,0.4105,0.5605
0.6835,0.6895,0.6335,0.4885,0.4385,0.5885
0.7300000000000001,0.7484999999999999,0.68,0.48,0.43,0.5800000000000001
0.7415,0.7875,0.6915,0.4935,0.4435,0.5935
0.7355,0.7494999999999999,0.6855,0.4975,0.4475,0.5975
0.6785,0.702,0.8604999999999999,0.4935,0.625,0.8355
0.6725,0.6325,0.9,0.4825,0.4325,0.5825
0.6915,0.6515,0.6415,0.4925,0.4425,0.5925
0.6825,0.7454999999999999,0.6325,0.4815,0.4315,0.5815
0.6290000000000001,0.621,0.8470000000000001,0.471,0.616,0.8310000000000001
0.7055,0.6759999999999999,0.6555,0.4795,0.4295,0.5795
0.6275000000000001,0.6585,0.9,0.4995,0.4495,0.5995
0.7055,0.7034999999999999,0.6555,0.4875,0.4375,0.5875
0.7160000000000001,0.76,0.666,0.475,0.425,0.5750000000000001
0.677,0.72,0.891,0.486,0.436,0.5860000000000001
0.6465000000000001,0.6595,0.5965,0.4975,0.4475,0.5975
0.6130000000000001,0.648,0.5630000000000001,0.453,0.403,0.553
0.67,0.7354999999999999,0.62,0.5770000000000001,0.663,0.88
0.8560000000000001,0.732,0.6050000000000001,0.498,0.448,0.5980000000000001
0.6425000000000001,0.6679999999999999,0.5925,0.4925,0.66,0.88
0.6705,0.6305,0.6204999999999999,0.4805,0.4305,0.5805
0.7060000000000001,0.7020000000000001,0.656,0.498,0.448,0.5980000000000001
0.656,0.6875,0.894,0.482,0.432,0.5820000000000001
0.6865,0.7414999999999999,0.9,0.4715,0.7140000000000001,0.88
0.6635,0.6204999999999999,0.6134999999999999,0.7224999999999999,0.4145,0.5645
0.6435000000000001,0.817,0.5935,0.4595,0.5325,0.88
0.6070000000000001,0.6485,0.557,0.455,0.405,0.555
0.6145,0.6329999999999999,0.5645,0.4575,0.7074999999999999,0.88
0.6825,0.7595,0.6325,0.4925,0.4425,0.5925
0.7060000000000001,0.747,0.9,0.495,0.445,0.5950000000000001
0.6825,0.6569999999999999,0.9,0.4545,0.5065,0.6905
0.7075,0.7384999999999999,0.6575,0.4505,0.4005,0.5505
0.6790000000000002,0.655,0.6290000000000001,0.493,0.443,0.5930000000000001
0.6615,0.7424999999999999,0.6275,0.4845,0.4345,0.5845
0.634,0.636,0.584,0.459,0.409,0.559
0.5730000000000001,0.62,0.523,0.455,0.405,0.555
0.6625,0.7154999999999999,0.6124999999999999,0.4695,0.4195,0.5695
0.6080000000000001,0.656,0.558,0.467,0.417,0.5670000000000001
0.6825,0.6689999999999999,0.6325,0.4545,0.4045,0.5545
0.6095,0.6425,0.5595,0.4685,0.4185,0.5685
0.6725,0.92,0.6224999999999999,0.4655,0.4155,0.5655
0.7120000000000001,0.92,0.662,0.488,0.438,0.5880000000000001
0.6600000000000001,0.7170000000000001,0.6100000000000001,0.498,0.448,0.5980000000000001
0.7200000000000001,0.701,0.67,0.464,0.414,0.5640000000000001
0.7305,0.7659999999999999,0.8805,0.4975,0.4475,0.5975
0.6240000000000001,0.6995,0.5740000000000001,0.6980000000000001,0.402,0.552
0.6990000000000001,0.755,0.9,0.497,0.447,0.5970000000000001
0.7080000000000001,0.712,0.9,0.481,0.431,0.5810000000000001
0.6765,0.7254999999999999,0.8744999999999999,0.4735,0.4235,0.5735
0.654,0.92,0.604,0.46,0.41,0.56
0.657,0.7275,0.607,0.474,0.424,0.5740000000000001
0.6985,0.713,0.6885,0.4655,0.4155,0.5655
0.7080000000000001,0.726,0.658,0.492,0.442,0.5920000000000001
0.6915,0.754,0.6415,0.4885,0.4385,0.5885
0.95,0.7005,0.635,0.486,0.625,0.88
0.6020000000000001,0.635,0.552,0.455,0.405,0.555
0.7230000000000001,0.7184999999999999,0.673,0.456,0.406,0.556
0.6755,0.6689999999999999,0.6255,0.4995,0.4495,0.5995
0.8715,0.6485,0.5735,0.4535,0.4035,0.5535
0.675,0.6805,0.625,0.478,0.428,0.5780000000000001
0.68,0.6605,0.666,0.494,0.444,0.5940000000000001
0.6900000000000001,0.6785,0.64,0.461,0.411,0.561
0.6755,0.6675,0.6255,0.4815,0.4315,0.5815
0.7015,0.7104999999999999,0.6515,0.4825,0.4325,0.5825
0.6825,0.7005,0.6325,0.7635,0.4375,0.5875
0.6160000000000001,0.643,0.5660000000000001,0.5940000000000001,0.422,0.5720000000000001
0.6365,0.6509999999999999,0.5864999999999999,0.4575,0.4075,0.5575
0.5995,0.6239999999999999,0.5495,0.6695,0.4015,0.5515
0.6905,0.6749999999999999,0.6405,0.4755,0.4255,0.5755
0.8840000000000001,0.6795,0.5640000000000001,0.48,0.43,0.5800000000000001
0.6490000000000001,0.6920000000000001,0.5990000000000001,0.479,0.429,0.5790000000000001
0.662,0.92,0.612,0.463,0.413,0.5630000000000001
0.7005,0.7314999999999999,0.6505,0.4675,0.4175,0.5675
0.7175,0.7799999999999999,0.6675,0.4875,0.4375,0.5875
0.6480000000000001,0.7205,0.5980000000000001,0.491,0.441,0.5910000000000001
0.95,0.6915,0.6,0.468,0.418,0.5680000000000001
0.6450000000000001,0.7085,0.5950000000000001,0.479,0.429,0.5790000000000001
0.7760000000000001,0.773,0.7260000000000001,0.485,0.435,0.5850000000000001
0.6880000000000001,0.92,0.638,0.458,0.408,0.558
0.6930000000000001,0.664,0.743,0.493,0.443,0.5930000000000001
0.7185,0.753,0.6685,0.4875,0.4375,0.5875
0.6595,0.6745,0.6094999999999999,0.5475,0.4175,0.5675
0.7540000000000001,0.706,0.662,0.49,0.44,0.5900000000000001
0.7065,0.6844999999999999,0.6565,0.4685,0.4185,0.5685
0.662,0.63,0.9,0.468,0.418,0.5680000000000001
0.658,0.7365,0.9,0.477,0.427,0.5770000000000001
0.6375,0.6184999999999999,0.5874999999999999,0.4655,0.4155,0.5655
0.7065,0.6869999999999999,0.6565,0.4965,0.4465,0.5965
0.6925,0.748,0.9,0.4705,0.4205,0.5705
0.7500000000000001,0.766,0.7000000000000001,0.493,0.443,0.5930000000000001
0.6935,0.6834999999999999,0.6435,0.6155,0.4055,0.5555
0.6775,0.8334999999999999,0.6275,0.4545,0.5665,0.88
0.7105,0.7004999999999999,0.6605,0.4665,0.4165,0.5665
0.6735,0.701,0.6234999999999999,0.4595,0.4095,0.5595
0.7355,0.7779999999999999,0.6855,0.4795,0.4295,0.5795
0.686,0.761,0.636,0.497,0.447,0.5970000000000001
0.9015,0.6405,0.5475,0.4515,0.595,0.88
0.5870000000000001,0.646,0.537,0.803,0.419,0.5690000000000001
0.6100000000000001,0.92,0.56,0.46,0.41,0.56
0.6105,0.8424999999999999,0.5605,0.4665,0.4165,0.5665
0.7010000000000001,0.674,0.651,0.494,0.444,0.5940000000000001
0.6855,0.7615,0.6595,0.4945,0.4445,0.5945
0.639,0.712,0.589,0.454,0.404,0.554
0.687,0.7434999999999999,0.637,0.469,0.419,0.5690000000000001
0.6900000000000001,0.661,0.64,0.49,0.44,0.5900000000000001
0.949,0.7095,0.638,0.468,0.418,0.5680000000000001
0.7140000000000001,0.684,0.664,0.48,0.43,0.5800000000000001
0.6555,0.6639999999999999,0.9,0.4555,0.4055,0.5555
0.6035,0.6489999999999999,0.5535,0.4735,0.4235,0.5735
0.7475,0.907,0.6975,0.4875,0.4375,0.5875
0.7175,0.702,0.6675,0.4905,0.4405,0.5905
0.6190000000000001,0.641,0.5690000000000001,0.47,0.42,0.5700000000000001
0.7810000000000001,0.668,0.5770000000000001,0.473,0.6405000000000001,0.88
0.7040000000000001,0.7405,0.654,0.499,0.449,0.5990000000000001
0.652,0.66,0.602,0.453,0.403,0.553
0.6605000000000001,0.6715,0.6105,0.6385,0.4385,0.5885
0.6865,0.7034999999999999,0.6365,0.4575,0.4075,0.5575
0.8335,0.7214999999999999,0.6445,0.4815,0.5965,0.88
0.7105,0.688,0.6605,0.6605,0.4085,0.5585
0.6905,0.7244999999999999,0.9,0.4755,0.4255,0.5755
0.6750000000000002,0.6124999999999999,0.5640000000000001,0.452,0.402,0.552
0.6290000000000001,0.92,0.5790000000000001,0.481,0.431,0.5810000000000001
0.6665,0.6595,0.6164999999999999,0.4555,0.4055,0.5555
0.678,0.767,0.628,0.488,0.438,0.5880000000000001
0.7035,0.6695,0.6535,0.4865,0.4365,0.5865
0.6695,0.711,0.6194999999999999,0.4875,0.4375,0.5875
0.675,0.7615000000000001,0.625,0.496,0.446,0.5960000000000001
0.7515000000000001,0.7695,0.7015,0.4995,0.4495,0.5995
0.95,0.683,0.6210000000000001,0.491,0.441,0.5910000000000001
0.6240000000000001,0.6985,0.674,0.466,0.416,0.5660000000000001
0.6905,0.7064999999999999,0.6405,0.4575,0.4075,0.5575
0.8454999999999999,0.7404999999999999,0.6014999999999999,0.4585,0.4085,0.5585
0.75,0.703,0.643,0.451,0.401,0.551
0.646,0.7085,0.596,0.764,0.408,0.558
0.7320000000000001,0.749,0.682,0.467,0.417,0.5670000000000001
0.95,0.679,0.632,0.46,0.41,0.56
0.7145,0.7464999999999999,0.6645,0.4735,0.4235,0.5735
0.6300000000000001,0.6365,0.5800000000000001,0.452,0.402,0.552
0.7455,0.742,0.6955,0.4855,0.4355,0.5855
0.6620000000000001,0.704,0.6120000000000001,0.494,0.444,0.5940000000000001
0.7015,0.7199999999999999,0.6515,0.4515,0.4015,0.5515
0.6185,0.92,0.5685,0.4735,0.4235,0.5735
0.6510000000000001,0.8945,0.6010000000000001,0.492,0.442,0.5920000000000001
0.6420000000000001,0.659,0.5920000000000001,0.488,0.438,0.5880000000000001
0.647,0.6855,0.709,0.45,0.4,0.55
0.81,0.6144999999999999,0.573,0.451,0.62,0.88
0.6725,0.7449999999999999,0.7585,0.4705,0.4205,0.5705
0.6885,0.695,0.6385,0.4865,0.4365,0.5865
0.6055,0.6585,0.5555,0.4875,0.4375,0.5875
0.6515000000000001,0.7,0.6015,0.4855,0.4355,0.5855
0.6865,0.6525,0.6365,0.6795,0.5619999999999999,0.7515000000000001
0.7130000000000001,0.7515,0.9,0.483,0.433,0.5830000000000001
