@relation student_profiles-weka.filters.unsupervised.attribute.Standardize

@attribute profile_id numeric
@attribute education_level numeric
@attribute OL_subject_0_score numeric
@attribute OL_subject_2_score numeric
@attribute OL_subject_3_score numeric
@attribute OL_subject_1_score numeric
@attribute OL_subject_5_score numeric
@attribute OL_subject_4_score numeric
@attribute AL_stream numeric
@attribute AL_subject_6_score numeric
@attribute AL_subject_8_score numeric
@attribute AL_subject_10_score numeric
@attribute AL_subject_4_score numeric
@attribute AL_subject_3_score numeric
@attribute AL_subject_7_score numeric
@attribute AL_subject_0_score numeric
@attribute AL_subject_2_score numeric
@attribute AL_subject_1_score numeric
@attribute AL_subject_9_score numeric
@attribute AL_subject_12_score numeric
@attribute AL_subject_5_score numeric
@attribute AL_subject_11_score numeric
@attribute university_score numeric
@attribute gpa numeric

@data
-1.731531,-0.011788,1.307165,1.388929,0.58078,-1.302308,-1.244982,0.317644,1.111364,-0.324392,3.446965,-0.338621,-0.323875,-0.344756,1.561949,-0.519618,-0.333557,-0.512165,1.586297,-0.339651,-0.322834,-0.335493,-0.701204,-0.703734
-1.730839,1.216116,1.100225,0.763301,1.638318,1.349054,-1.313461,1.283672,1.779974,-0.324392,-0.328194,1.36033,-0.323875,-0.344756,-0.327299,-0.519618,-0.333557,-0.512165,-0.323648,-0.192258,-0.322834,0.317648,1.76936,1.708932
-1.730146,-0.011788,-1.210607,-0.522712,1.365405,1.590087,-1.690096,-0.889891,1.111364,-0.324392,0.794151,-0.338621,-0.323875,-0.344756,2.685286,-0.519618,-0.333557,-0.512165,1.328196,-0.339651,-0.322834,-0.335493,-0.701204,-0.703734
-1.729453,-0.011788,1.031245,1.562715,0.239638,-0.957975,1.28874,-0.130869,1.779974,-0.324392,-0.328194,0.710731,-0.323875,-0.344756,-0.327299,-0.519618,-0.333557,-0.512165,-0.323648,2.608193,-0.322834,0.820064,-0.701204,-0.703734
-1.72876,1.216116,-0.589786,-1.704455,0.853693,-1.543341,1.425698,1.318173,-0.225857,-0.324392,-0.328194,-0.338621,-0.323875,1.824452,-0.327299,0.941871,-0.333557,-0.216918,-0.323648,-0.339651,-0.322834,-0.335493,1.795643,1.898033
-1.728067,-0.011788,-0.210396,0.832815,-1.568412,1.62452,1.28874,1.318173,0.442754,3.068405,-0.328194,-0.338621,2.206962,-0.344756,-0.327299,-0.519618,-0.333557,-0.512165,-0.323648,-0.339651,3.657216,-0.335493,-0.701204,-0.703734
-1.727375,1.216116,-0.727747,-0.592227,-1.159042,1.211321,0.330034,-0.475879,1.779974,-0.324392,-0.328194,3.658911,-0.323875,-0.344756,-0.327299,-0.519618,-0.333557,-0.512165,-0.323648,3.345154,-0.322834,1.824896,1.033448,1.213358
-1.726682,-0.011788,0.962265,1.14563,0.921921,0.522656,0.021879,-0.061867,1.779974,-0.324392,-0.328194,0.81067,-0.323875,-0.344756,-0.327299,-0.519618,-0.333557,-0.512165,-0.323648,0.495572,-0.322834,2.076104,-0.701204,-0.703734
-1.725989,1.216116,0.065524,0.033402,-1.568412,-0.303743,0.809387,0.17964,-0.894467,-0.324392,-0.328194,-0.338621,-0.323875,-0.344756,-0.327299,0.064978,2.01473,0.705729,-0.323648,-0.339651,-0.322834,-0.335493,1.427687,1.721974
-1.725296,1.216116,-1.521017,-0.418441,-1.295498,0.591522,0.912106,0.145139,1.779974,-0.324392,-0.328194,3.808819,-0.323875,-0.344756,-0.327299,-0.519618,-0.333557,-0.512165,-0.323648,0.741225,-0.322834,1.221997,1.401404,1.558956
