@relation student_profiles

@attribute profile_id numeric
@attribute education_level numeric
@attribute OL_subject_0_score numeric
@attribute OL_subject_2_score numeric
@attribute OL_subject_3_score numeric
@attribute OL_subject_1_score numeric
@attribute OL_subject_5_score numeric
@attribute OL_subject_4_score numeric
@attribute AL_stream numeric
@attribute AL_subject_6_score numeric
@attribute AL_subject_8_score numeric
@attribute AL_subject_10_score numeric
@attribute AL_subject_4_score numeric
@attribute AL_subject_3_score numeric
@attribute AL_subject_7_score numeric
@attribute AL_subject_0_score numeric
@attribute AL_subject_2_score numeric
@attribute AL_subject_1_score numeric
@attribute AL_subject_9_score numeric
@attribute AL_subject_12_score numeric
@attribute AL_subject_5_score numeric
@attribute AL_subject_11_score numeric
@attribute university_score numeric
@attribute gpa numeric

@data
1,2,92,59,88,56,67,49,1,0,0,0,0,84,0,46,0,75,0,0,0,0,72,3.55
2,0,7,0,27,65,83,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,19,95,58,77,25,73,0,0,0,0,0,0,0,86,85,39,0,0,0,0,88,2.72
4,1,51,46,34,68,95,38,0,0,0,0,0,0,0,28,61,16,0,0,0,0,0,0
5,2,97,89,37,2,30,46,1,0,0,0,0,30,0,22,0,17,0,0,0,0,92,3.05
6,0,96,91,12,60,94,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,41,88,20,85,86,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,38,72,30,60,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,95,0,77,93,66,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,14,9,68,52,72,68,3,0,20,0,0,0,95,0,0,0,72,0,0,0,62,3.19
11,1,76,27,75,36,57,75,0,0,0,0,0,0,0,8,95,52,0,0,0,0,0,0
12,1,5,57,83,77,52,59,2,31,0,0,5,0,0,0,0,0,0,0,92,0,0,0
13,0,65,13,92,57,71,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,90,59,20,41,76,57,0,0,0,0,0,0,0,17,81,52,0,0,0,0,63,3.64
15,1,23,91,83,71,28,15,4,0,0,59,0,0,0,0,0,0,0,56,0,31,0,0
16,2,40,19,74,98,90,94,2,70,0,0,28,0,0,0,0,0,0,0,14,0,71,3.21
17,0,13,1,82,88,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,85,5,29,11,89,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,18,10,18,15,73,17,4,0,0,79,0,0,0,0,0,0,0,3,0,49,63,2.91
20,2,5,83,31,46,56,0,3,0,59,0,0,0,92,0,0,0,96,0,0,0,70,2.78
21,1,79,99,64,7,7,86,1,0,0,0,0,34,0,0,0,69,0,0,0,0,0,0
22,0,75,46,59,28,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,22,73,54,17,74,59,4,0,0,79,0,0,0,0,0,0,0,90,0,27,0,0
24,1,37,92,42,93,53,76,4,0,0,14,0,0,0,0,0,0,0,12,0,88,0,0
25,0,18,88,65,0,2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,78,16,18,57,66,48,3,0,34,0,0,0,98,0,0,0,65,0,0,0,0,0
27,0,56,95,40,91,73,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,82,59,29,19,52,48,1,0,0,0,0,43,0,94,0,56,0,0,0,0,0,0
29,0,61,8,67,76,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,28,37,47,7,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,68,3,48,6,76,20,0,0,0,0,0,0,0,23,7,60,0,0,0,0,93,2.89
32,1,41,50,98,16,49,28,3,0,9,0,0,0,14,0,0,0,71,0,0,0,0,0
33,1,4,80,74,48,94,77,0,0,0,0,0,0,0,87,27,3,0,0,0,0,0,0
34,1,5,43,77,54,74,31,2,73,0,0,73,0,0,0,0,0,0,0,6,0,0,0
35,1,11,1,34,57,51,22,2,22,0,0,36,0,0,0,0,0,0,0,10,0,0,0
36,2,38,4,57,80,60,3,3,0,86,0,0,0,28,0,0,0,77,0,0,0,71,3.28
37,0,26,65,13,97,37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,45,3,64,17,54,90,3,0,29,0,0,0,94,0,0,0,56,0,0,0,82,2.75
39,1,62,93,99,34,16,10,0,0,0,0,0,0,0,67,55,75,0,0,0,0,0,0
40,0,38,12,45,79,79,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,72,87,11,19,65,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,5,30,82,64,79,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,2,36,21,32,99,42,0,0,0,0,0,0,0,89,74,46,0,0,0,0,0,0
44,2,22,47,21,53,16,49,3,0,93,0,0,0,32,0,0,0,46,0,0,0,66,2.97
45,1,31,64,76,91,78,17,2,67,0,0,26,0,0,0,0,0,0,0,2,0,0,0
46,1,51,83,30,79,20,80,3,0,97,0,0,0,12,0,0,0,27,0,0,0,0,0
47,2,96,85,75,90,8,63,0,0,0,0,0,0,0,82,10,76,0,0,0,0,70,3.31
48,0,23,4,46,41,72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,81,92,66,97,31,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,56,33,47,33,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,61,66,81,7,62,30,0,0,0,0,0,0,0,19,15,65,0,0,0,0,96,2.42
52,1,76,27,52,81,57,36,4,0,0,91,0,0,0,0,0,0,0,28,0,76,0,0
53,0,89,52,90,14,73,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,25,95,43,22,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,97,12,4,43,88,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,59,89,12,32,28,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,32,94,5,68,84,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,88,90,13,26,8,49,3,0,78,0,0,0,1,0,0,0,47,0,0,0,99,3.29
59,2,21,73,41,72,34,29,0,0,0,0,0,0,0,47,68,36,0,0,0,0,64,3.69
60,2,54,87,34,46,55,11,0,0,0,0,0,0,0,21,38,93,0,0,0,0,80,3.24
61,2,77,78,3,59,48,55,2,80,0,0,91,0,0,0,0,0,0,0,85,0,74,2.78
62,2,45,34,6,56,14,24,1,0,0,0,0,83,0,36,0,39,0,0,0,0,80,3.29
63,1,70,73,72,54,94,86,4,0,0,81,0,0,0,0,0,0,0,63,0,65,0,0
64,0,99,40,30,89,31,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,40,62,37,76,85,54,4,0,0,20,0,0,0,0,0,0,0,46,0,52,0,0
66,0,34,84,73,36,83,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,70,47,38,3,29,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,64,77,81,58,23,83,1,0,0,0,0,46,0,57,0,54,0,0,0,0,0,0
69,0,92,60,68,84,42,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,88,95,45,84,65,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,7,2,21,34,20,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,6,92,22,64,0,23,0,0,0,0,0,0,0,71,52,3,0,0,0,0,0,0
73,2,5,92,41,4,21,43,4,0,0,21,0,0,0,0,0,0,0,44,0,57,78,3.13
