profile_id,education_level,OL_subject_0_score,OL_subject_1_score,OL_subject_2_score,OL_subject_3_score,AL_stream,AL_subject_0_score,AL_subject_1_score,AL_subject_2_score,university_score,gpa
1,2,12,91,41,71,4,,,,78,3.55
2,1,85,13,2,29,1,12,3,,,
3,2,61,81,48,8,2,,,,87,2.59
4,1,23,95,89,3,0,85,36,73,,
5,1,40,39,77,78,3,,,,,
6,2,91,71,22,91,3,,,,98,3.71
7,0,3,70,89,42,,,,,,
8,2,36,66,63,80,4,,,,92,2.63
9,1,27,43,96,84,0,52,16,10,,
10,1,12,37,3,58,4,,,,,
11,0,98,40,30,49,,,,,,
12,2,17,27,4,77,2,,,,75,2.32
13,2,49,63,70,5,0,88,43,44,85,3.04
14,0,38,67,75,15,,,,,,
15,0,26,2,88,60,,,,,,
16,0,18,33,31,46,,,,,,
17,0,5,97,39,71,,,,,,
18,2,76,2,16,90,2,,,,61,3.37
19,2,64,96,89,58,2,,,,63,2.88
20,2,91,75,96,42,4,,,,90,2.81
21,1,16,95,99,66,0,16,79,66,,
22,0,43,58,18,29,,,,,,
23,0,95,44,43,18,,,,,,
24,0,99,72,79,20,,,,,,
25,0,72,58,3,35,,,,,,
26,1,93,16,19,88,0,21,54,5,,
27,0,92,78,41,94,,,,,,
28,2,23,19,19,88,1,72,31,,73,3.19
29,1,93,13,30,55,3,,,,,
30,1,58,41,57,6,4,,,,,
31,2,3,87,68,5,4,,,,84,3.16
32,1,56,71,29,9,3,,,,,
33,1,10,76,77,79,2,,,,,
34,0,28,78,15,31,,,,,,
35,1,11,0,24,26,0,73,92,35,,
36,1,97,20,46,29,2,,,,,
37,2,69,47,1,94,3,,,,64,2.92
38,1,57,27,17,63,1,28,29,,,
39,2,66,65,10,63,1,29,95,,74,2.79
40,0,77,6,11,67,,,,,,
41,2,89,17,93,34,1,85,28,,90,2.94
42,2,11,62,96,74,1,54,4,,79,3.65
43,0,1,95,63,76,,,,,,
44,1,4,56,32,14,1,49,76,,,
45,2,51,18,46,62,2,,,,65,3.27
46,0,5,71,84,77,,,,,,
47,0,86,38,79,76,,,,,,
48,1,21,74,15,32,3,,,,,
49,0,82,35,58,33,,,,,,
50,0,76,85,79,79,,,,,,
51,0,56,23,33,10,,,,,,
