@relation student_profiles

@attribute profile_id numeric
@attribute education_level numeric
@attribute OL_subject_0_score numeric
@attribute OL_subject_2_score numeric
@attribute OL_subject_3_score numeric
@attribute OL_subject_1_score numeric
@attribute OL_subject_5_score numeric
@attribute OL_subject_4_score numeric
@attribute AL_stream numeric
@attribute AL_subject_6_score numeric
@attribute AL_subject_8_score numeric
@attribute AL_subject_10_score numeric
@attribute AL_subject_4_score numeric
@attribute AL_subject_3_score numeric
@attribute AL_subject_7_score numeric
@attribute AL_subject_0_score numeric
@attribute AL_subject_2_score numeric
@attribute AL_subject_1_score numeric
@attribute AL_subject_9_score numeric
@attribute AL_subject_12_score numeric
@attribute AL_subject_5_score numeric
@attribute AL_subject_11_score numeric
@attribute university_score numeric
@attribute gpa numeric
@attribute career {Medicine,Engineering,IT,Research,Business,Teaching}

@data
1,0,93,74,51,76,8,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
2,2,60,84,34,47,97,28,2,59,0,0,54,0,0,0,0,0,0,0,36,0,85,3.39,IT
3,1,27,44,59,30,58,72,4,0,0,21,0,0,0,0,0,0,0,49,0,87,-1,-1,Medicine
4,1,85,67,30,57,80,4,3,0,1,0,0,0,52,0,0,0,16,0,0,0,-1,-1,Engineering
5,1,93,44,98,98,66,56,1,0,0,0,0,43,0,91,0,9,0,0,0,0,-1,-1,Engineering
6,0,22,6,4,93,7,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
7,0,13,45,0,89,85,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
8,0,34,38,73,29,91,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
9,0,96,14,54,83,19,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
10,2,5,16,73,70,87,21,4,0,0,37,0,0,0,0,0,0,0,65,0,27,84,3.02,Medicine
