@relation student_profiles

@attribute profile_id numeric
@attribute education_level numeric
@attribute OL_subject_0_score numeric
@attribute OL_subject_2_score numeric
@attribute OL_subject_3_score numeric
@attribute OL_subject_1_score numeric
@attribute OL_subject_5_score numeric
@attribute OL_subject_4_score numeric
@attribute AL_stream numeric
@attribute AL_subject_6_score numeric
@attribute AL_subject_8_score numeric
@attribute AL_subject_10_score numeric
@attribute AL_subject_4_score numeric
@attribute AL_subject_3_score numeric
@attribute AL_subject_7_score numeric
@attribute AL_subject_0_score numeric
@attribute AL_subject_2_score numeric
@attribute AL_subject_1_score numeric
@attribute AL_subject_9_score numeric
@attribute AL_subject_12_score numeric
@attribute AL_subject_5_score numeric
@attribute AL_subject_11_score numeric
@attribute university_score numeric
@attribute gpa numeric
@attribute career {Medicine,Engineering,IT,Research,Business,Teaching}

@data
1,2,57,7,2,3,13,44,2,52,0,0,74,0,0,0,0,0,0,0,1,0,93,3.73,Medicine
2,1,28,62,6,72,59,45,3,0,59,0,0,0,29,0,0,0,6,0,0,0,-1,-1,Engineering
3,0,19,76,48,8,43,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
4,1,78,2,84,54,54,47,3,0,72,0,0,0,78,0,0,0,16,0,0,0,-1,-1,Medicine
5,2,79,16,63,18,20,14,0,0,0,0,0,0,0,48,49,60,0,0,0,0,70,3.26,IT
6,0,34,88,44,91,75,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
7,1,0,35,69,83,81,84,0,0,0,0,0,0,0,99,55,38,0,0,0,0,-1,-1,IT
8,0,80,29,95,12,5,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
9,1,63,94,8,65,78,56,2,93,0,0,78,0,0,0,0,0,0,0,15,0,-1,-1,Medicine
10,1,94,30,89,4,72,10,2,34,0,0,55,0,0,0,0,0,0,0,2,0,-1,-1,Engineering
11,2,90,42,72,27,63,25,2,14,0,0,46,0,0,0,0,0,0,0,4,0,71,3.34,IT
12,1,78,48,58,20,43,87,1,0,0,0,0,56,0,38,0,0,0,0,0,0,-1,-1,IT
13,0,65,86,96,49,37,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
14,0,73,84,10,52,24,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
15,0,51,0,49,51,36,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
16,0,18,86,77,28,96,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
17,0,67,29,75,82,74,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
18,2,65,66,15,10,38,24,2,30,0,0,4,0,0,0,0,0,0,0,1,0,61,2.98,Engineering
19,2,58,90,18,57,7,94,2,63,0,0,45,0,0,0,0,0,0,0,5,0,97,3.57,IT
20,2,44,14,99,59,72,95,2,10,0,0,11,0,0,0,0,0,0,0,86,0,60,2.99,Engineering
21,1,42,83,92,58,49,2,3,0,60,0,0,0,77,0,0,0,7,0,0,0,-1,-1,Medicine
22,2,58,43,52,48,38,23,4,0,0,13,0,0,0,0,0,0,0,36,0,57,92,2.56,Engineering
23,2,29,36,63,69,69,68,4,0,0,33,0,0,0,0,0,0,0,98,0,29,72,3.03,IT
24,1,51,20,64,81,51,23,0,0,0,0,0,0,0,26,47,18,0,0,0,0,-1,-1,Engineering
25,0,28,27,22,90,65,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
26,1,44,37,16,7,92,16,1,0,0,0,0,40,0,26,0,36,0,0,0,0,-1,-1,IT
27,2,47,32,12,78,56,61,0,0,0,0,0,0,0,56,68,85,0,0,0,0,81,3.04,Teaching
28,1,28,19,5,92,33,19,0,0,0,0,0,0,0,97,24,53,0,0,0,0,-1,-1,IT
29,0,6,46,8,86,62,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
30,1,12,99,32,34,95,35,2,87,0,0,44,0,0,0,0,0,0,0,41,0,-1,-1,IT
31,2,86,21,55,53,7,38,4,0,0,52,0,0,0,0,0,0,0,93,0,39,76,3.26,IT
32,2,15,74,10,21,50,43,2,30,0,0,78,0,0,0,0,0,0,0,19,0,95,2.59,IT
33,1,94,90,23,80,15,71,0,0,0,0,0,0,0,49,54,82,0,0,0,0,-1,-1,Medicine
34,2,90,5,58,94,7,96,4,0,0,53,0,0,0,0,0,0,0,54,0,18,73,2.67,Medicine
35,1,85,79,48,67,56,88,4,0,0,32,0,0,0,0,0,0,0,53,0,16,-1,-1,Medicine
36,0,48,53,38,51,5,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
37,1,41,96,74,91,16,70,3,0,89,0,0,0,28,0,0,0,95,0,0,0,-1,-1,IT
38,0,39,91,61,58,79,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
39,0,23,24,92,28,17,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
40,2,94,70,67,17,67,59,1,0,0,0,0,50,0,28,0,10,0,0,0,0,62,3.15,IT
41,2,72,0,8,98,48,46,2,82,0,0,98,0,0,0,0,0,0,0,86,0,64,3.27,Teaching
42,1,69,85,1,73,56,16,0,0,0,0,0,0,0,32,13,15,0,0,0,0,-1,-1,Engineering
43,1,9,59,11,40,1,6,2,33,0,0,30,0,0,0,0,0,0,0,30,0,-1,-1,Medicine
44,1,61,50,29,73,3,79,1,0,0,0,0,15,0,46,0,62,0,0,0,0,-1,-1,Engineering
45,2,57,69,42,86,36,84,1,0,0,0,0,28,0,72,0,50,0,0,0,0,99,2.96,Medicine
46,2,89,4,21,91,90,74,3,0,62,0,0,0,96,0,0,0,52,0,0,0,60,2.86,Engineering
47,1,79,43,70,22,35,98,1,0,0,0,0,94,0,50,0,0,0,0,0,0,-1,-1,IT
48,2,69,10,2,15,50,41,3,0,59,0,0,0,21,0,0,0,87,0,0,0,93,3.28,Engineering
49,0,95,77,33,98,83,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
50,0,4,77,32,39,96,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
51,1,37,61,0,90,20,58,1,0,0,0,0,31,0,14,0,19,0,0,0,0,-1,-1,Medicine
52,1,90,97,73,80,38,56,2,48,0,0,6,0,0,0,0,0,0,0,73,0,-1,-1,IT
53,1,13,91,39,24,5,56,2,7,0,0,5,0,0,0,0,0,0,0,67,0,-1,-1,Engineering
54,1,53,79,76,5,14,67,3,0,36,0,0,0,65,0,0,0,12,0,0,0,-1,-1,Medicine
55,0,20,61,18,29,69,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
56,0,74,83,73,0,96,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
57,0,38,11,75,49,97,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
58,1,42,27,29,73,42,19,2,65,0,0,66,0,0,0,0,0,0,0,96,0,-1,-1,Medicine
59,0,59,37,44,61,88,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
60,0,22,8,3,70,29,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
61,1,60,77,75,14,21,43,3,0,68,0,0,0,83,0,0,0,63,0,0,0,-1,-1,IT
62,1,55,31,79,20,81,1,2,8,0,0,63,0,0,0,0,0,0,0,61,0,-1,-1,Medicine
63,0,82,81,30,44,90,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
64,1,39,48,17,25,18,75,4,0,0,2,0,0,0,0,0,0,0,98,0,19,-1,-1,IT
65,0,18,94,28,29,69,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
66,2,94,5,46,29,69,28,1,0,0,0,0,9,0,20,0,55,0,0,0,0,65,2.65,IT
67,0,69,84,77,89,7,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
68,2,94,45,75,99,57,53,0,0,0,0,0,0,0,3,65,65,0,0,0,0,84,2.84,IT
69,2,84,14,93,83,67,94,0,0,0,0,0,0,0,66,93,50,0,0,0,0,73,3.52,Teaching
70,1,95,66,58,2,9,39,4,0,0,80,0,0,0,0,0,0,0,66,0,33,-1,-1,IT
71,1,86,76,89,80,88,93,4,0,0,5,0,0,0,0,0,0,0,32,0,26,-1,-1,Engineering
72,2,33,20,34,92,94,84,2,46,0,0,52,0,0,0,0,0,0,0,1,0,71,3.36,IT
73,1,93,40,43,46,43,88,0,0,0,0,0,0,0,86,97,4,0,0,0,0,-1,-1,Engineering
74,2,49,25,61,23,4,97,2,40,0,0,96,0,0,0,0,0,0,0,34,0,95,2.31,Engineering
75,1,28,41,40,76,17,71,1,0,0,0,0,34,0,51,0,25,0,0,0,0,-1,-1,Engineering
76,0,24,34,85,21,97,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
77,0,32,55,45,94,60,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
78,1,73,24,65,85,70,23,1,0,0,0,0,99,0,73,0,0,0,0,0,0,-1,-1,IT
79,1,67,30,23,98,15,50,0,0,0,0,0,0,0,79,97,63,0,0,0,0,-1,-1,IT
80,1,6,75,84,2,54,19,3,0,66,0,0,0,73,0,0,0,23,0,0,0,-1,-1,Medicine
81,2,85,63,44,95,41,55,1,0,0,0,0,51,0,7,0,55,0,0,0,0,86,3.69,IT
82,2,31,35,87,7,33,35,1,0,0,0,0,61,0,51,0,28,0,0,0,0,66,2.94,Engineering
83,0,54,51,17,23,99,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
84,0,10,88,69,42,52,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
85,1,49,29,12,11,58,77,1,0,0,0,0,92,0,96,0,14,0,0,0,0,-1,-1,IT
86,1,42,16,18,82,26,9,4,0,0,41,0,0,0,0,0,0,0,97,0,20,-1,-1,Medicine
87,1,0,64,48,39,13,72,3,0,98,0,0,0,65,0,0,0,86,0,0,0,-1,-1,Engineering
88,0,57,7,63,65,74,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
89,1,74,7,8,18,43,21,3,0,47,0,0,0,64,0,0,0,45,0,0,0,-1,-1,Medicine
90,0,7,1,21,2,21,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
91,0,3,95,88,98,41,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
92,2,67,54,99,25,87,10,0,0,0,0,0,0,0,80,73,69,0,0,0,0,94,3.12,IT
93,1,77,21,96,77,67,75,2,48,0,0,72,0,0,0,0,0,0,0,73,0,-1,-1,Engineering
94,0,68,73,83,20,80,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
95,2,89,89,60,29,51,93,4,0,0,31,0,0,0,0,0,0,0,98,0,87,89,3.52,Medicine
96,2,21,51,23,0,99,17,2,81,0,0,73,0,0,0,0,0,0,0,75,0,96,2.82,Engineering
97,1,10,77,21,8,96,54,2,92,0,0,49,0,0,0,0,0,0,0,63,0,-1,-1,IT
98,1,74,30,33,92,57,64,4,0,0,30,0,0,0,0,0,0,0,36,0,34,-1,-1,Medicine
99,2,78,60,71,59,17,16,3,0,16,0,0,0,34,0,0,0,57,0,0,0,73,2.83,Engineering
100,0,53,48,81,59,63,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
101,1,48,73,45,17,56,65,1,0,0,0,0,90,0,10,0,3,0,0,0,0,-1,-1,Engineering
102,0,55,29,19,38,79,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
103,1,42,86,71,46,30,79,2,10,0,0,12,0,0,0,0,0,0,0,77,0,-1,-1,Engineering
104,0,72,61,31,79,16,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
105,0,66,76,41,20,75,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
106,2,14,57,60,17,65,67,4,0,0,82,0,0,0,0,0,0,0,1,0,23,81,3.05,Engineering
107,2,21,99,31,98,8,59,0,0,0,0,0,0,0,24,35,11,0,0,0,0,78,3.17,Medicine
108,1,10,65,42,33,24,64,2,56,0,0,52,0,0,0,0,0,0,0,39,0,-1,-1,IT
109,0,96,72,65,74,19,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
110,0,33,34,99,61,99,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
111,2,84,51,31,14,84,79,0,0,0,0,0,0,0,46,35,77,0,0,0,0,68,2.16,Engineering
112,1,97,25,4,60,6,28,0,0,0,0,0,0,0,29,75,80,0,0,0,0,-1,-1,IT
113,0,23,94,46,97,83,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
114,1,94,18,92,61,0,83,1,0,0,0,0,24,0,82,0,58,0,0,0,0,-1,-1,IT
115,1,47,23,31,98,89,39,3,0,41,0,0,0,14,0,0,0,4,0,0,0,-1,-1,Medicine
116,1,47,74,13,34,72,36,1,0,0,0,0,52,0,36,0,65,0,0,0,0,-1,-1,Medicine
117,0,70,15,62,54,48,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
118,2,29,89,63,57,38,62,1,0,0,0,0,44,0,76,0,1,0,0,0,0,63,3.48,Medicine
119,2,78,36,29,23,14,45,3,0,68,0,0,0,49,0,0,0,78,0,0,0,87,2.97,IT
120,2,22,75,90,32,18,34,3,0,81,0,0,0,63,0,0,0,45,0,0,0,67,2.8,Engineering
121,1,47,71,34,55,85,20,3,0,3,0,0,0,37,0,0,0,64,0,0,0,-1,-1,IT
122,2,80,97,48,26,19,1,2,91,0,0,60,0,0,0,0,0,0,0,15,0,94,3.08,Teaching
123,0,16,78,89,11,87,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
124,2,28,22,69,34,87,84,4,0,0,14,0,0,0,0,0,0,0,79,0,51,71,3.11,IT
125,0,31,40,1,21,15,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
126,2,70,12,12,24,10,50,2,65,0,0,99,0,0,0,0,0,0,0,87,0,97,3.91,Teaching
127,0,77,43,34,99,91,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Business
128,0,23,51,27,22,92,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
129,0,38,68,55,38,86,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Research
130,2,87,20,96,40,58,3,4,0,0,46,0,0,0,0,0,0,0,60,0,29,74,2.12,Engineering
