@RELATION student_profiles

@ATTRIBUTE profile_id NUMERIC
@ATTRIBUTE education_level NUMERIC
@ATTRIBUTE OL_subject_0_score NUMERIC
@ATTRIBUTE OL_subject_2_score NUMERIC
@ATTRIBUTE OL_subject_3_score NUMERIC
@ATTRIBUTE OL_subject_1_score NUMERIC
@ATTRIBUTE OL_subject_5_score NUMERIC
@ATTRIBUTE OL_subject_4_score NUMERIC
@ATTRIBUTE AL_stream NUMERIC
@ATTRIBUTE AL_subject_0_score NUMERIC
@ATTRIBUTE AL_subject_1_score NUMERIC
@ATTRIBUTE AL_subject_2_score NUMERIC
@ATTRIBUTE university_score NUMERIC
@ATTRIBUTE gpa NUMERIC

@DATA
1, 0, 90, 94, 64, 6, 6, 52, null, null, null
2, 2, 32, 81, 83, 43, 3, 86, 0, 69, 16, 67, 77, 3.6
3, 2, 22, 84, 26, 91, 1, 35, 2, 54, 15, 13, 62, 3.25
4, 0, 27, 1, 56, 71, 26, 73, null, null, null
5, 2, 36, 24, 86, 78, 70, 66, 3, 5, 50, 53, 87, 3.66
6, 0, 4, 6, 55, 66, 49, 60, null, null, null
7, 0, 79, 74, 2, 89, 42, 82, null, null, null
8, 1, 80, 88, 38, 42, 13, 25, 1, 41, 83, 19, null, null
9, 1, 20, 91, 13, 89, 89, 1, 1, 81, 77, 26, null, null
10, 1, 76, 11, 97, 20, 58, 1, 2, 96, 1, 9, null, null
11, 1, 0, 41, 99, 99, 68, 21, 0, 5, 80, 11, null, null
12, 1, 15, 78, 43, 0, 84, 8, 3, 66, 55, 47, null, null
13, 2, 61, 74, 6, 62, 54, 45, 3, 38, 59, 54, 66, 2.58
14, 0, 0, 87, 78, 83, 67, 7, null, null, null
15, 2, 0, 71, 22, 59, 11, 33, 3, 10, 39, 24, 80, 3.39
16, 1, 14, 57, 74, 24, 59, 69, 0, 9, 56, 64, null, null
17, 2, 0, 95, 69, 71, 33, 36, 0, 89, 73, 26, 78, 2.98
18, 2, 51, 77, 83, 33, 65, 52, 3, 60, 46, 79, 63, 3.31
19, 2, 6, 3, 12, 91, 94, 25, 0, 35, 57, 30, 64, 3.07
20, 2, 21, 32, 98, 57, 88, 27, 0, 15, 19, 46, 73, 2.2
21, 0, 96, 0, 22, 18, 72, 20, null, null, null
22, 0, 58, 16, 40, 47, 25, 80, null, null, null
23, 0, 98, 34, 45, 72, 21, 20, null, null, null
24, 2, 59, 40, 70, 2, 48, 76, 3, 56, 89, 60, 93, 2.71
25, 2, 87, 48, 36, 95, 34, 87, 2, 75, 41, 44, 91, 3.02
26, 0, 52, 71, 11, 36, 31, 41, null, null, null
27, 2, 92, 9, 23, 61, 4, 10, 3, 4, 83, 43, 91, 3.06
28, 1, 80, 69, 70, 65, 80, 24, 1, 68, 76, 59, null, null
29, 2, 20, 52, 90, 8, 2, 95, 1, 55, 24, 59, 71, 2.66
30, 2, 40, 13, 0, 76, 27, 22, 2, 45, 25, 98, 81, 3.51
31, 2, 59, 34, 86, 95, 21, 51, 3, 9, 13, 5, 85, 3.12
32, 1, 1, 40, 62, 83, 10, 42, 3, 21, 64, 30, null, null
33, 2, 71, 67, 96, 20, 10, 30, 4, 48, 24, 9, 83, 3.91
34, 2, 64, 44, 43, 19, 37, 13, 0, 69, 97, 55, 69, 3.44
35, 1, 80, 54, 63, 22, 45, 95, 3, 44, 95, 80, null, null
36, 0, 8, 1, 60, 96, 49, 23, null, null, null
37, 2, 20, 0, 56, 34, 1, 14, 3, 25, 18, 83, 90, 3.56
38, 2, 20, 0, 64, 7, 50, 50, 2, 26, 87, 54, 71, 3.03
39, 0, 13, 38, 41, 38, 85, 72, null, null, null
40, 0, 64, 64, 30, 60, 13, 76, null, null, null
41, 2, 25, 37, 38, 80, 57, 41, 4, 92, 60, 63, 65, 3.68
42, 0, 12, 96, 60, 14, 73, 66, null, null, null
43, 2, 34, 86, 65, 65, 92, 96, 2, 77, 43, 8, 74, 2.63
44, 1, 77, 23, 82, 87, 50, 57, 4, 42, 8, 92, null, null
45, 0, 82, 73, 40, 88, 35, 77, null, null, null
46, 1, 4, 49, 67, 48, 76, 11, 4, 56, 16, 84, null, null
47, 0, 40, 22, 38, 67, 54, 25, null, null, null
48, 2, 71, 78, 10, 31, 4, 77, 3, 22, 74, 35, 90, 3.1
49, 2, 7, 98, 48, 64, 89, 78, 3, 68, 51, 89, 87, 3.37
50, 1, 8, 14, 91, 12, 37, 69, 2, 57, 86, 4, null, null
51, 1, 41, 31, 0, 55, 42, 43, 1, 48, 99, 95, null, null
52, 1, 35, 30, 8, 30, 90, 65, 4, 20, 40, 95, null, null
53, 0, 30, 90, 1, 56, 87, 66, null, null, null
54, 1, 7, 81, 76, 23, 30, 18, 3, 35, 24, 39, null, null
55, 2, 91, 54, 6, 40, 14, 8, 1, 80, 53, 1, 87, 2.97
56, 1, 66, 18, 94, 12, 38, 61, 0, 29, 9, 19, null, null
57, 0, 69, 74, 92, 83, 18, 5, null, null, null
58, 1, 70, 5, 58, 17, 67, 89, 1, 93, 62, 23, null, null
59, 0, 70, 47, 20, 94, 4, 97, null, null, null
60, 2, 99, 84, 6, 59, 59, 85, 3, 40, 70, 77, 67, 3.25
61, 2, 34, 92, 24, 84, 95, 53, 2, 44, 82, 15, 60, 3.47
62, 1, 16, 42, 8, 48, 68, 52, 4, 44, 95, 10, null, null
63, 2, 68, 63, 68, 62, 64, 93, 0, 4, 8, 20, 95, 2.94
64, 0, 60, 35, 78, 46, 50, 49, null, null, null
65, 2, 93, 68, 74, 88, 71, 23, 1, 3, 88, 84, 76, 2.99
66, 0, 88, 22, 64, 42, 86, 10, null, null, null
67, 0, 60, 56, 95, 51, 1, 74, null, null, null
68, 1, 32, 59, 1, 42, 61, 98, 2, 11, 67, 81, null, null
69, 0, 29, 48, 76, 82, 23, 43, null, null, null
70, 2, 30, 13, 10, 76, 39, 24, 3, 29, 99, 33, 90, 2.71
71, 2, 58, 69, 54, 92, 65, 9, 3, 73, 76, 23, 83, 3.46
72, 1, 10, 83, 29, 17, 53, 69, 3, 30, 69, 71, null, null
73, 1, 51, 7, 8, 15, 17, 52, 3, 49, 9, 96, null, null
74, 2, 34, 16, 22, 2, 80, 86, 3, 53, 12, 30, 74, 2.82
75, 0, 80, 72, 35, 11, 15, 78, null, null, null
76, 0, 69, 76, 19, 15, 8, 38, null, null, null
77, 1, 57, 38, 23, 93, 25, 26, 2, 62, 68, 82, null, null
78, 2, 8, 25, 42, 20, 16, 68, 2, 32, 66, 16, 76, 2.86
79, 1, 56, 17, 76, 47, 25, 99, 3, 12, 12, 10, null, null
80, 1, 27, 36, 31, 53, 83, 80, 1, 50, 31, 60, null, null
81, 2, 85, 36, 42, 17, 71, 30, 2, 83, 10, 17, 79, 3.61
82, 1, 84, 39, 36, 43, 13, 79, 1, 66, 27, 96, null, null
